2025-12-31 17:06:34 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:06:34 | INFO     | __main__ | ============================================================
2025-12-31 17:06:34 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:06:34 | INFO     | __main__ | ============================================================
2025-12-31 17:06:34 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:06:34 | INFO     | state_manager | State reset for new session
2025-12-31 17:06:35 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:06:35 | INFO     | trading_engine | Updating trading universe...
2025-12-31 17:06:35 | INFO     | data_manager | Building trading universe...
2025-12-31 17:06:35 | ERROR    | data_manager | Error fetching bars for AAPL: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:35 | ERROR    | data_manager | Error fetching bars for AAPL: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for MSFT: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for MSFT: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for GOOGL: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for GOOGL: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for AMZN: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for AMZN: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:36 | ERROR    | data_manager | Error fetching bars for NVDA: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:37 | ERROR    | data_manager | Error fetching bars for NVDA: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:37 | ERROR    | data_manager | Error fetching bars for META: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:37 | ERROR    | data_manager | Error fetching bars for META: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:37 | ERROR    | data_manager | Error fetching bars for TSLA: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:37 | ERROR    | data_manager | Error fetching bars for TSLA: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:37 | ERROR    | data_manager | Error fetching bars for BRK.B: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:38 | ERROR    | data_manager | Error fetching bars for BRK.B: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:38 | ERROR    | data_manager | Error fetching bars for JPM: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:38 | ERROR    | data_manager | Error fetching bars for JPM: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:38 | ERROR    | data_manager | Error fetching bars for V: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:38 | ERROR    | data_manager | Error fetching bars for V: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:38 | ERROR    | data_manager | Error fetching bars for UNH: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:39 | ERROR    | data_manager | Error fetching bars for UNH: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:39 | ERROR    | data_manager | Error fetching bars for XOM: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:39 | ERROR    | data_manager | Error fetching bars for XOM: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:39 | ERROR    | data_manager | Error fetching bars for JNJ: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:39 | ERROR    | data_manager | Error fetching bars for JNJ: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:39 | ERROR    | data_manager | Error fetching bars for WMT: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:40 | ERROR    | data_manager | Error fetching bars for WMT: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:40 | ERROR    | data_manager | Error fetching bars for MA: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:40 | ERROR    | data_manager | Error fetching bars for MA: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:40 | ERROR    | data_manager | Error fetching bars for PG: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:40 | ERROR    | data_manager | Error fetching bars for PG: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:40 | ERROR    | data_manager | Error fetching bars for HD: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:41 | ERROR    | data_manager | Error fetching bars for HD: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:41 | ERROR    | data_manager | Error fetching bars for CVX: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:41 | ERROR    | data_manager | Error fetching bars for CVX: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:41 | ERROR    | data_manager | Error fetching bars for MRK: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:41 | ERROR    | data_manager | Error fetching bars for MRK: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:41 | ERROR    | data_manager | Error fetching bars for ABBV: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:42 | ERROR    | data_manager | Error fetching bars for ABBV: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:42 | INFO     | data_manager | Universe built with 0 symbols: []
2025-12-31 17:06:42 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:06:42 | ERROR    | data_manager | Error fetching bars for VIXY: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:42 | ERROR    | data_manager | Error fetching bars for SPY: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:42 | ERROR    | data_manager | Error fetching bars for SPY: {"message":"subscription does not permit querying recent SIP data"}

2025-12-31 17:06:42 | WARNING  | trading_engine | No SPY data available
2025-12-31 17:06:42 | INFO     | __main__ | Test iteration complete
2025-12-31 17:10:03 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:10:03 | INFO     | state_manager | State loaded from file
